playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,ftAttempted,threeAttempted,dq,PostGP,PostGS,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ
iveyni01w,3,0,IND,31,23,439,86,6,22,39,16,3,22,31,21,50,0,3,0,0,0,1,3,1,0,0,2,0,1,0
iveyni01w,4,0,IND,27,21,651,135,5,27,71,29,7,28,40,17,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iveyni01w,5,0,IND,15,1,179,34,2,8,18,4,3,6,20,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iveyni01w,6,1,DET,12,0,102,14,5,7,10,6,0,5,14,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iveyni01w,6,2,PHO,14,0,152,24,3,7,20,6,0,6,17,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksde01w,3,0,CLE,18,0,143,55,10,17,6,2,1,9,11,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksde01w,4,0,CLE,34,22,763,245,37,52,51,20,13,33,92,70,70,1,3,3,12,2,10,2,2,0,0,7,6,2,0
jacksde01w,5,0,IND,34,32,804,236,57,56,53,29,6,52,82,73,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksde01w,6,0,IND,34,0,472,162,37,40,23,17,12,32,55,68,3,0,4,0,35,4,10,2,2,2,1,17,17,1,1
jacksde01w,7,0,CHI,22,1,328,132,32,34,13,9,3,22,38,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksgw01w,4,0,SAS,33,26,975,289,86,119,20,15,17,46,85,88,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksgw01w,5,2,PHO,14,0,136,56,11,16,4,3,1,4,11,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksgw01w,5,1,SAS,19,4,290,61,20,34,11,3,3,11,23,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksgw01w,6,0,PHO,11,2,121,31,8,15,3,0,3,10,12,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksla01w,2,0,SEA,29,29,1001,442,57,136,44,54,64,53,97,143,129,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksla01w,3,0,SEA,28,28,882,482,66,124,41,30,81,47,95,90,120,1,2,2,23,5,5,3,3,6,4,9,7,6,0
jacksla01w,4,0,SEA,33,33,1109,698,82,225,62,38,64,69,106,183,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksla01w,5,0,SEA,31,31,1070,634,64,143,51,31,62,67,93,175,115,0,8,8,157,20,40,11,8,9,16,23,39,22,0
jacksla01w,6,0,SEA,34,34,1176,597,96,217,57,36,67,59,100,181,118,2,3,3,43,4,20,2,4,4,8,11,6,13,0
jacksla01w,7,0,SEA,30,30,848,585,70,160,48,24,51,40,90,189,77,1,3,3,54,4,20,2,2,7,5,8,24,7,0
jacksla01w,8,0,SEA,31,31,1020,739,80,220,40,31,63,56,93,197,122,1,2,2,38,4,19,1,2,3,5,9,9,10,0
jacksla01w,9,0,SEA,21,21,694,425,39,108,26,31,33,40,67,106,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksla01w,10,0,SEA,26,26,843,499,48,134,22,38,45,43,97,143,114,2,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksta01w,1,0,HOU,29,1,339,76,18,43,11,12,9,24,62,11,0,0,6,0,16,9,8,0,4,4,2,9,0,0,0
jacksta01w,2,0,HOU,32,4,442,104,40,51,21,22,11,29,53,40,0,0,1,0,4,2,1,0,1,1,1,4,6,1,0
jacksta01w,3,0,HOU,5,1,69,6,7,6,1,3,3,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksta02w,1,0,DET,17,0,267,116,8,17,36,22,0,21,30,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksta02w,2,0,POR,32,1,497,132,10,34,50,28,0,45,35,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksta02w,3,0,POR,32,10,692,314,20,39,95,55,1,64,59,66,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksta02w,4,0,PHO,34,34,958,300,24,58,146,52,4,76,62,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksta02w,5,0,WAS,25,12,405,135,7,30,45,20,1,28,21,16,25,0,3,0,17,0,1,4,0,0,2,7,2,5,0
jacksta02w,6,0,WAS,8,0,66,9,1,5,10,5,0,4,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
