bioID,pos,height,weight,college
snellbe01w,G,69.0,170,University of Sydney
snowmi01w,C,77.0,158,Tennessee
spencsi01w,G,75.0,183,Tennessee
stafftr01w,F,73.0,180,California
staleda01w,G,66.0,134,Virginia
stansti01w,F-C,75.0,183,North Carolina State
starbka01w,G,73.0,153,Stanford
stedika01w,F-G,72.0,173,Stanford
stephre01w,G,71.0,160,UCLA
stephst01w,C,76.0,205,Texas
sterkca01w,F,74.0,170,Central Michigan
stevema01w,F-C,75.0,166,Auburn
stileja01w,G,68.0,144,Missouri State
stillva01w,F-C,73.0,151,Kentucky
stinsan01w,G,70.0,158,North Carolina State
stiresh01w,F,71.0,208,Kansas State
stockta01w,F-C,74.0,165,Florida
stricsh01w,G-F,74.0,178,Tennessee
strotan01w,G-F,75.0,166,Connecticut
suberto01w,G,67.0,137,Virginia
suttota01w,C,76.0,199,Rutgers
swanike01w,G,67.0,144,Connecticut
swoopsh01w,F-G,72.0,145,Texas Tech
swordca01w,C,78.0,210,Boston College
tatede01w,G,68.0,150,Maryland
tateso01w,G,66.0,157,Arkansas State
tauradi01w,F-G,72.0,172,Connecticut
tayloli01w,C,80.0,200,UC Santa Barbara
teaslni01w,G,72.0,169,North Carolina
teilaza01w,C,79.0,170,Western Illinois
terryka01w,C-F,75.0,183,Georgia Tech
thirdtr01w,F,71.0,160,Washington
thomaca01w,F,75.0,200,Vanderbilt
thomach01w,C,75.0,185,Georgia
thomaja01w,G,69.0,145,Duke
thomakr01w,C,77.0,195,Duke
thomala01w,F,74.0,165,Mississippi State
thomast01w,F,70.0,154,Michigan
thompal01w,F,73.0,180,Texas Tech
thompam01w,F,73.0,170,Oklahoma
thomppa01w,F,73.0,193,Tennessee
thompti01w,F,74.0,178,USC
thorbsh01w,G,69.0,149,Utah
thorner01w,G,70.0,150,Brigham Young
threaro01w,G,67.0,150,Wisconsin
tilliic01w,C-F,77.0,165,Duke
tolerpe01w,G,68.0,132,Long Beach State
tolivkr01w,G,67.0,130,Maryland
torrele01w,C,75.0,171,Florida State
traviti01w,G-F,71.0,145,Flordia
tremich01w,G,66.0,142,Auburn
tricetr01w,F-C,74.0,180,North Carolina State
tunsine01w,G-F,73.0,170,Iowa State
turneba01w,G-F,72.0,172,Connecticut
tutermo01w,G,72.0,155,Arizona State
udokamf01w,F,72.0,187,DePaul
ujhelpe01w,F-C,76.0,200,South Carolina
umoh-it01w,G,67.0,140,Clemson
vandeco01w,G,68.0,130,Gonzaga
vanemal01w,F,75.0,175,UCLA
vangomi01w,C,78.0,187,Duke
vaughki01w,C,76.0,208,Rutgers
vaughkr01w,F,73.0,160,Virginia Commonwealth
veselja01w,F,75.0,195,none
vidicbo01w,G,69.0,133,Oregon State
viglida01w,G,70.0,157,Texas
voigtka01w,G,73.0,162,Wisconsin
vukadmi01w,G,73.0,150,California
walkeas01w,F-C,73.0,200,California
walkeay01w,F,75.0,142,Louisiana Tech
walkede01w,F,75.0,168,Virginia
walkema01w,C,75.0,253,Pittsburgh
walsema01w,F,74.0,184,Penn State
wardvo01w,C,78.0,170,Tennessee
washico01w,G,66.0,138,Notre Dame
washito01w,F,71.0,160,Florida
weathte01w,G,68.0,161,Louisiana Tech
webbum01w,G-F,70.0,162,North Carolina State
weberma01w,C,77.0,200,Iona
weckeke01w,F,73.0,172,Kansas State
whaleli01w,G,68.0,150,Minnesota
whitede01w,F,71.0,180,Louisiana State
whiteer01w,G,63.0,135,Louisiana State
whiteta01w,G,67.0,154,Mississippi State
whitiva01w,C-F,74.0,199,Stanford
whitmta01w,F,74.0,190,Memphis
whittkh01w,F,73.0,185,North Carolina State
wickssu01w,F,75.0,191,Rutgers
widemja01w,G,66.0,135,Stanford
wiggica01w,G,71.0,154,Stanford
wilkeda01w,G,65.0,121,Long Beach State
wilkibr01w,C,75.0,185,Iowa State
williad01w,F-C,77.0,170,USC
willian01w,G,72.0,149,Illinois
willibe01w,G,69.0,145,Texas
willide01w,G,68.0,160,Louisiana Tech
williki01w,G,66.0,136,DePaul
willile01w,F,72.0,200,Auburn
willile02w,G-F,71.0,155,DePaul
willili01w,G,71.0,170,UCLA
willina01w,F-C,74.0,210,UCLA
williri01w,G,66.0,135,Connecticut
williri02w,G,67.0,165,Miami
willish01w,G,66.0,135,Oregon
willita01w,G,71.0,170,Auburn
willito01w,G,68.0,138,Texas A&M
williwe01w,G,67.0,141,Arkansas
wilsoam01w,F,71.0,176,Louisiana Tech
wirthch01w,F,73.0,185,Vanderbilt
wisdoli01w,F,74.0,186,Purdue
witheso01w,G,70.0,145,Florida
wojtaju01w,G-F,72.0,175,Wisconsin-Green Bay
