playerID,year,tmID,minutes_pct_error,points_pct_error,oRebounds_pct_error,dRebounds_pct_error,assists_pct_error,steals_pct_error,blocks_pct_error,turnovers_pct_error,PF_pct_error,fgAttempted_pct_error,fgMade_pct_error,ftAttempted_pct_error,ftMade_pct_error,threeMade_pct_error
mooreje01w,10,IND,46.8%,42.8%,47.1%,42.7%,19.5%,50.6%,14.1%,34.6%,52.1%,39.5%,48.0%,49.6%,51.4%,80.8%
moorelo01w,10,NYL,29.0%,12.5%,27.2%,41.6%,16.6%,47.0%,80.5%,26.9%,1.3%,29.8%,18.2%,24.3%,23.7%,24.4%
mosbybe01w,10,WAS,82.0%,114.1%,38.3%,60.0%,412.1%,34.2%,442.6%,30.6%,21.2%,74.0%,128.4%,50.1%,30.6%,351.4%
murphsh01w,10,IND,25.0%,39.6%,64.2%,18.5%,113.7%,73.0%,92.4%,81.7%,13.4%,35.0%,29.8%,30.1%,39.0%,27.1%
nanch01w,10,CHI,38.8%,16.7%,44.9%,14.7%,81.0%,41.4%,0.8%,28.6%,9.6%,34.2%,29.7%,101.5%,183.9%,229.9%
newtoch01w,10,SAC,23.7%,83.5%,60.4%,71.9%,1.5%,27.6%,19.6%,107.7%,61.3%,68.2%,57.1%,141.9%,200.1%,14.7%
nolande01w,10,DET,3.5%,12.8%,16.6%,1.6%,23.1%,5.1%,0.1%,2.3%,28.6%,17.5%,10.6%,31.6%,31.6%,0.9%
ohldeni01w,10,PHO,106.2%,113.0%,102.8%,107.7%,478.4%,295.5%,27.4%,71.0%,49.2%,183.6%,127.5%,59.9%,77.2%,275.3%
parisco01w,10,SAC,47.8%,47.4%,65.6%,54.1%,51.9%,20.8%,1.9%,19.6%,36.8%,53.0%,49.7%,15.3%,45.9%,176.3%
parkeca01w,10,LAS,14.1%,45.5%,23.1%,2.3%,34.1%,158.3%,12.9%,48.7%,69.2%,52.3%,48.6%,115.5%,103.9%,65.7%
penicti01w,10,SAC,18.0%,52.0%,88.8%,1.7%,0.3%,70.0%,13.2%,19.2%,77.0%,35.9%,63.4%,40.1%,32.1%,574.2%
perkiji01w,10,CHI,12.7%,4.9%,35.7%,14.5%,2.6%,30.2%,58.7%,35.2%,14.4%,12.2%,16.7%,7.2%,9.5%,15.6%
philler01w,10,CON,67.3%,69.6%,69.2%,73.4%,58.4%,79.1%,39.3%,58.9%,61.4%,72.1%,69.9%,72.2%,73.1%,65.1%
pierspl01w,10,DET,15749.8%,33078.3%,6698.2%,8526.6%,5226.7%,2259.8%,2276.8%,6151.8%,4393.3%,13786.4%,12187.0%,12299.8%,8507.3%,300.3%
pondeca01w,10,PHO,12.0%,16.1%,29.3%,18.3%,20.9%,13.9%,50.6%,4.2%,28.0%,14.5%,21.6%,1.4%,6.3%,12.3%
powelni01w,10,SAC,19.1%,29.0%,35.4%,35.8%,38.5%,26.4%,28.6%,26.9%,13.0%,20.5%,27.3%,19.9%,34.9%,24.9%
pricear01w,10,ATL,594.0%,1333.2%,519.5%,679.3%,1197.9%,982.7%,395.8%,453.8%,487.0%,1178.7%,1552.4%,1042.7%,1081.9%,22.3%
pricear01w,10,CHI,50.1%,84.7%,24.8%,11.7%,38.8%,48.3%,312.6%,89.2%,63.9%,59.4%,71.4%,98.9%,66.8%,475.8%
pringla01w,10,MIN,131.8%,200.4%,138.0%,125.3%,167.6%,373.0%,92.3%,122.9%,155.1%,225.9%,239.7%,256.0%,207.2%,67.2%
quiglal01w,10,PHO,698.7%,499.2%,661.3%,346.3%,2458.0%,666.7%,254.2%,317.7%,337.8%,674.3%,695.7%,435.0%,377.4%,354.9%
quinnno01w,10,LAS,56.1%,66.8%,69.6%,51.4%,47.1%,54.7%,67.7%,31.2%,49.0%,62.1%,73.4%,50.6%,49.4%,59.4%
rileyru01w,10,SAS,27.7%,16.4%,45.0%,34.7%,16.8%,5.2%,29.4%,10.1%,15.7%,15.7%,22.4%,20.0%,25.6%,64.4%
robinas01w,10,SEA,106.9%,393.1%,458.5%,147.9%,548.2%,496.3%,38.0%,140.8%,91.1%,152.8%,384.0%,363.9%,348.7%,1.5%
sanfona01w,10,WAS,8.5%,4.8%,21.4%,14.9%,41.9%,20.3%,28.8%,16.1%,1.6%,0.5%,4.6%,5.7%,7.7%,89.2%
sanniol01w,10,DET,20.5%,8.6%,5.5%,42.8%,11.3%,4.8%,52.5%,13.4%,3.6%,9.6%,4.5%,16.1%,7.1%,239.3%
schumke01w,10,DET,1728.1%,4318.9%,1412.1%,2682.9%,399.3%,410.4%,636.9%,1142.7%,1177.3%,2835.0%,1853.4%,1138.8%,871.4%,56.2%
sharpkb01w,10,CHI,35.0%,50.9%,165.1%,34.4%,64.4%,89.8%,31.3%,9.2%,15.7%,62.0%,51.0%,11.6%,8.9%,76.6%
smithbr01w,10,PHO,91.8%,248.3%,79.8%,55.5%,283.4%,328.4%,66.4%,183.7%,31.0%,372.8%,302.6%,207.4%,142.5%,240.5%
smithka01w,10,DET,17.5%,20.6%,39.3%,65.3%,51.7%,38.1%,117.2%,17.6%,8.4%,26.1%,12.9%,80.0%,71.2%,11.0%
smithta01w,10,PHO,20.2%,20.4%,6.5%,27.0%,20.4%,20.5%,49.4%,23.2%,20.2%,19.9%,21.9%,120.0%,109.0%,54.4%
snellbe01w,10,SAS,47.6%,43.9%,66.0%,43.9%,6.8%,48.6%,36.2%,28.5%,45.5%,38.0%,43.5%,60.8%,61.1%,45.4%
snowmi01w,10,ATL,69.8%,63.2%,73.3%,48.6%,106.3%,41.4%,104.4%,64.9%,46.6%,75.7%,80.5%,62.9%,45.2%,330.6%
spencsi01w,10,NYL,45.6%,115.6%,245.9%,54.5%,100.9%,176.0%,453.7%,179.2%,86.1%,91.7%,102.7%,223.0%,139.2%,82.0%
suttota01w,10,IND,33.8%,36.3%,40.2%,15.0%,10.6%,59.1%,25.0%,40.8%,52.1%,34.3%,37.5%,30.6%,26.9%,80.0%
swanike01w,10,PHO,11.0%,0.7%,27.4%,55.8%,13.1%,9.9%,36.1%,33.9%,20.4%,9.2%,7.5%,21.8%,24.9%,26.8%
tauradi01w,10,PHO,5.4%,6.4%,54.0%,26.0%,7.9%,23.8%,16.3%,1.4%,8.1%,12.6%,4.8%,9.1%,11.0%,3.5%
taylope01w,10,PHO,196.1%,164.5%,303.0%,368.4%,127.8%,116.0%,685.1%,96.3%,161.8%,202.0%,189.5%,138.5%,127.2%,230.4%
teaslni01w,10,ATL,185.1%,335.2%,605.7%,309.1%,186.8%,184.0%,408.5%,313.8%,103.7%,405.8%,396.3%,350.4%,366.6%,378.5%
teaslni01w,10,DET,143.7%,209.5%,1180.2%,197.9%,160.1%,228.9%,27.8%,139.0%,164.1%,171.2%,177.6%,1357.8%,1132.5%,123.3%
thomach01w,10,MIN,369.0%,3227.6%,431.8%,387.0%,186.4%,248.9%,74.9%,237.9%,179.5%,309.0%,3603.8%,1372.8%,1969.2%,42.0%
thompti01w,10,LAS,28.6%,3.0%,26.3%,30.6%,30.4%,1.0%,44.4%,21.5%,16.1%,11.3%,2.1%,6.7%,11.5%,19.3%
thorner01w,10,CHI,34.1%,37.0%,58.2%,23.7%,33.5%,51.1%,148.4%,24.3%,19.5%,40.7%,39.7%,46.4%,56.2%,36.1%
tolivkr01w,10,CHI,39.7%,25.9%,216.4%,48.8%,6.3%,176.1%,0.1%,7.0%,62.1%,13.3%,36.1%,171.0%,186.4%,74.4%
turneba01w,10,CON,358.1%,730.5%,425.8%,572.2%,282.6%,316.4%,1063.1%,814.0%,335.5%,356.2%,906.1%,582.0%,587.4%,749.0%
vaughki01w,10,NYL,38.1%,15.0%,40.9%,22.7%,74.0%,84.2%,327.4%,14.1%,29.9%,40.2%,41.8%,91.1%,278.1%,46.1%
walkeas01w,10,SEA,399.4%,553.4%,452.4%,219.0%,389.9%,672.8%,187.3%,400.6%,176.9%,360.0%,662.0%,345.1%,299.7%,11.7%
walkede01w,10,SAC,79.2%,87.3%,72.1%,73.7%,90.0%,85.9%,86.6%,86.8%,84.7%,80.5%,87.0%,81.5%,83.8%,48.6%
wautean01w,10,SAS,86.6%,84.3%,52.4%,103.6%,162.6%,119.6%,339.1%,49.0%,100.5%,104.5%,77.0%,66.3%,99.5%,760.4%
whaleli01w,10,CON,16.0%,18.4%,39.7%,11.3%,9.1%,6.5%,43.6%,3.6%,19.4%,16.2%,15.1%,3.4%,14.9%,2.7%
whiteer01w,10,IND,2376.9%,5759.0%,1427.4%,1924.0%,1076.3%,1944.0%,127.5%,4466.8%,4829.4%,1591.0%,2943.0%,6055.7%,4388.6%,487.8%
whiteta01w,10,CON,29.2%,6.3%,26.9%,24.0%,5.8%,9.2%,10.1%,91.3%,2.5%,14.8%,16.2%,37.5%,40.5%,37.4%
whitmta01w,10,CON,129.5%,273.7%,83.2%,261.0%,90.0%,139.8%,340.7%,198.1%,147.7%,190.6%,317.8%,160.8%,175.8%,315.4%
whittkh01w,10,IND,1181.4%,691.1%,964.5%,1329.7%,703.9%,1260.9%,1190.2%,2373.5%,2278.1%,696.2%,419.9%,2349.8%,1707.0%,403.9%
wiggica01w,10,MIN,18.5%,18.9%,4.8%,25.7%,1.7%,13.5%,27.1%,23.6%,15.2%,20.7%,17.7%,16.6%,17.4%,29.8%
willile01w,10,PHO,25.8%,47.2%,45.2%,17.8%,28.5%,22.4%,11.3%,30.7%,27.7%,38.0%,43.8%,23.3%,45.0%,252.9%
willili01w,10,SAC,9321.2%,13004.9%,1339.7%,3635.0%,2728.2%,1670.2%,352.8%,2605.4%,3228.7%,6290.9%,3905.5%,2152.5%,1717.0%,2885.2%
wirthch01w,10,IND,170.8%,484.5%,861.9%,286.7%,47.9%,440.0%,307.7%,844.6%,258.6%,293.3%,366.0%,6947.1%,6366.6%,18.3%
wisdoli01w,10,LAS,81.7%,60.3%,86.0%,86.2%,150.3%,357.0%,6.9%,36.2%,252.5%,56.0%,25.9%,112.3%,139.4%,229.0%
wrighta01w,10,SEA,37.8%,52.5%,43.1%,29.8%,51.4%,42.3%,41.2%,35.1%,40.3%,42.2%,51.1%,54.0%,59.6%,30.0%
wyckobr01w,10,CHI,12.4%,9.1%,4.5%,11.3%,18.8%,48.1%,17.7%,21.7%,13.1%,6.9%,13.5%,77.4%,50.8%,35.7%
youngso01w,10,SAS,15.4%,14.9%,24.8%,18.7%,14.0%,3.5%,11.9%,5.4%,31.7%,16.4%,11.3%,7.4%,2.4%,90.7%
