playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers  roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  blodgci01w            0        20    12 49.0  2401.0    6       36    69.0   130.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  blodgci01w            1        20    12 50.0  2500.0    6       36    69.0   130.0         133.0         52.0             1.0             8.0           3.0          8.0          1.0            13.0      9.0              50.0         20.0               6.0          4.0             8.0          133.0          52.0              1.0              8.0            3.0           8.0           1.0             13.0       9.0               50.0          20.0                6.0           4.0              8.0
  boltoru01w            0        21    12 57.0  3249.0    6        6    69.0   150.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  boltoru01w            1        21    12 58.0  3364.0    6        6    69.0   150.0         868.0        380.0            42.0            64.0          57.0         34.0          1.0            45.0     60.0             368.0        133.0              84.0         64.0            50.0          868.0         380.0             42.0             64.0           57.0          34.0           1.0             45.0      60.0              368.0         133.0               84.0          64.0             50.0
   boydca01w            0        22     2  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brazian01w            0        23     0 48.0  2304.0    3       72    74.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brazian01w            1        23     4 49.0  2401.0    3       72    74.0   169.0         203.0         51.0            16.0            18.0           5.0          5.0          0.0            17.0     24.0              49.0         19.0              19.0         13.0             0.0          203.0          51.0             16.0             18.0            5.0           5.0           0.0             17.0      24.0               49.0          19.0               19.0          13.0              0.0
  bristre01w            0        24     0 47.0  2209.0    6        3    70.0   139.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brogami01w            0        25    10  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brondsa01w            0        26     6 57.0  3249.0    6       74    67.0   136.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  browned01w            0        27     2 46.0  2116.0    7       70    69.0   163.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  browned01w            1        27     2 47.0  2209.0    7       70    69.0   163.0         619.0        188.0            36.0            52.0          72.0         24.0          5.0            68.0     77.0             168.0         60.0              80.0         67.0             1.0          619.0         188.0             36.0             52.0           72.0          24.0           5.0             68.0      77.0              168.0          60.0               80.0          67.0              1.0
  brownru01w            0        28     1 52.0  2704.0    3       23    74.0   175.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brownru01w            1        28     1 53.0  2809.0    3       23    74.0   175.0         679.0        253.0            54.0            70.0          44.0         38.0         13.0            59.0     81.0             187.0         93.0              78.0         66.0             1.0          679.0         253.0             54.0             70.0           44.0          38.0          13.0             59.0      81.0              187.0          93.0               78.0          66.0              1.0
  brumfma01w            0        29     7 46.0  2116.0    6       59    68.0   133.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  brumfma01w            1        29     6 47.0  2209.0    6       59    68.0   133.0         613.0        124.0            22.0            38.0          42.0         22.0          2.0            40.0     70.0             101.0         47.0              42.0         29.0             1.0          613.0         124.0             22.0             38.0           42.0          22.0           2.0             40.0      70.0              101.0          47.0               42.0          29.0              1.0
  bullevi01w            0        30    15 57.0  3249.0    3       37    75.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  bullevi01w            1        30    15 58.0  3364.0    3       37    75.0   185.0        1094.0        342.0            61.0           122.0          42.0         64.0         47.0            58.0     88.0             294.0        143.0              63.0         45.0            11.0         1094.0         342.0             61.0            122.0           42.0          64.0          47.0             58.0      88.0              294.0         143.0               63.0          45.0             11.0
  burgean01w            0        31    15  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  burgeli01w            0        32    12 55.0  3025.0    3        2    73.0   173.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  burraal01w            0        33    11 49.0  2401.0    1       35    75.0   218.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  burraal01w            1        33    11 50.0  2500.0    1       35    75.0   218.0         314.0        159.0            20.0            54.0           6.0          3.0          7.0            36.0     36.0             109.0         64.0              41.0         31.0             0.0          314.0         159.0             20.0             54.0            6.0           3.0           7.0             36.0      36.0              109.0          64.0               41.0          31.0              0.0
  burseja01w            0        34     7 46.0  2116.0    1       73    77.0   199.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  byearla01w            0        35    12 51.0  2601.0    7       14    71.0   206.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  byearla01w            1        35     5 52.0  2704.0    7       14    71.0   206.0         521.0        181.0            42.0            80.0          21.0         30.0          5.0            35.0     72.0             143.0         75.0              49.0         30.0             1.0          521.0         181.0             42.0             80.0           21.0          30.0           5.0             35.0      72.0              143.0          75.0               49.0          30.0              1.0
