 playerID  career_year  tmID  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers    prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers   roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
       10            3    16        10    16 42.0  1764.0    0      111    78.0     190    669.000000   203.000000       28.000000       62.000000     11.000000     8.000000    15.000000       55.000000 106.000000        178.000000    83.000000         46.000000    37.000000        0.000000     357.000000    107.333333        16.333333        33.000000       7.000000      5.333333      8.666667        32.333333  61.666667          95.333333     42.333333          31.666667     22.666667         0.000000
       10            4    16        10    16 43.0  1849.0    0      111    78.0     190    414.000000   153.000000       28.000000       57.000000     15.000000     7.000000    10.000000       29.000000  73.000000        112.000000    59.000000         45.000000    35.000000        0.000000     438.000000    144.333333        23.333333        46.333333      10.333333      6.000000     10.333333        36.333333  75.000000         118.000000     55.666667          42.666667     33.000000         0.000000
       11            0     4        11     4 39.0  1521.0    5      119    68.0     166    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
       12            0    19        12    19 43.0  1849.0    5      119    67.0     125    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
       12            1     1        12     1 44.0  1936.0    5      119    67.0     125    434.000000    75.000000       12.000000       34.000000     75.000000    25.000000     3.000000       47.000000  53.000000         68.000000    29.000000         18.000000    14.000000        3.000000     434.000000     75.000000        12.000000        34.000000      75.000000     25.000000      3.000000        47.000000  53.000000          68.000000     29.000000          18.000000     14.000000         3.000000
       12            2     1        12     1 45.0  2025.0    5      119    67.0     125    102.000000    12.000000        3.000000       12.000000     14.000000     6.000000     0.000000       17.000000   8.000000         16.000000     2.000000         10.000000     8.000000        0.000000     268.000000     43.500000         7.500000        23.000000      44.500000     15.500000      1.500000        32.000000  30.500000          42.000000     15.500000          14.000000     11.000000         1.500000
       13            0     3        13     3 42.0  1764.0    2       75    71.0     165    396.970339   134.766949       20.207627       40.985169     29.569915    15.692797     6.870763       29.449153  40.146186        116.241525    48.527542         39.830508    29.213983        8.497881     396.970339    134.766949        20.207627        40.985169      29.569915     15.692797      6.870763        29.449153  40.146186         116.241525     48.527542          39.830508     29.213983         8.497881
       13            1     3        13     3 43.0  1849.0    2       75    71.0     165    797.000000   265.000000       32.000000       63.000000     75.000000    41.000000    10.000000       65.000000  91.000000        195.000000    89.000000         80.000000    60.000000       27.000000     797.000000    265.000000        32.000000        63.000000      75.000000     41.000000     10.000000        65.000000  91.000000         195.000000     89.000000          80.000000     60.000000        27.000000
       13            2     3        13     3 44.0  1936.0    2       75    71.0     165    893.000000   152.000000       21.000000       66.000000    100.000000    51.000000    10.000000       61.000000  77.000000        171.000000    58.000000         45.000000    30.000000        6.000000     845.000000    208.500000        26.500000        64.500000      87.500000     46.000000     10.000000        63.000000  84.000000         183.000000     73.500000          62.500000     45.000000        16.500000
       13            3     1        13     1 46.0  2116.0    2       75    71.0     165    665.000000    91.000000       17.000000       39.000000     67.000000    29.000000     6.000000       41.000000  82.000000        111.000000    34.000000         23.000000    18.000000        5.000000     785.000000    169.333333        23.333333        56.000000      80.666667     40.333333      8.666667        55.666667  83.333333         159.000000     60.333333          49.333333     36.000000        12.666667
